Unnamed: 0,name,late,subject
17,Bobby Flores,0,physics
23,Collin Lopez,9,physics
25,Peter Mcdowell,0,physics
28,Desiree Cain,0,physics
950,Sarah Villanueva,0,physics
954,Lauren Hayes,0,physics
958,Jorge Sullivan,0,physics
37,Peter Montgomery,0,physics
41,Brian Hamilton,0,physics
48,Cheryl Bradley,7,physics
49,Walter Pratt,0,physics
960,Susan Wagner,0,physics
961,Peter Montgomery,0,physics
962,Theodore Mcgrath,0,physics
966,Susan Levy,0,physics
969,Jennifer Summers,16,physics
970,April Snyder,0,physics
981,Mary Alvarez,0,physics
983,Sarah Villanueva,0,physics
986,Stephanie Lawrence,0,physics
988,Whitney Stark,0,physics
62,Stephanie Lawrence,0,physics
79,April Snyder,0,physics
87,Laurie Wallace,0,physics
93,Kimberly Myers,0,physics
94,Desiree Cain,0,physics
95,Stephanie Lawrence,14,physics
100,Jorge Sullivan,0,physics
107,Brian Hamilton,0,physics
108,Susan Levy,0,physics
114,Cheryl Bradley,0,physics
128,Stephanie Lawrence,0,physics
130,Whitney Stark,0,physics
133,Jorge Sullivan,8,physics
143,Kimberly Smith,0,physics
154,Janice Johnston,0,physics
157,Peter Mcdowell,0,physics
160,Desiree Cain,0,physics
166,Jorge Sullivan,0,physics
184,Michelle Kelley,0,physics
195,Lauren Hayes,0,physics
200,Elizabeth Woods,0,physics
201,Susan Wagner,60,physics
211,April Snyder,0,physics
216,Tasha Rodriguez,60,physics
222,Mary Alvarez,0,physics
226,Desiree Cain,0,physics
227,Stephanie Lawrence,0,physics
231,Norma Fisher,0,physics
233,Elizabeth Woods,0,physics
242,Kimberly Smith,0,physics
245,Dana Nguyen,0,physics
246,Cheryl Bradley,0,physics
250,Michelle Kelley,3,physics
260,Stephanie Lawrence,0,physics
270,Stephanie Collins,60,physics
271,Stephanie Sutton,0,physics
279,Cheryl Bradley,0,physics
292,Desiree Cain,0,physics
296,Angela Salazar,0,physics
